gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
462847,NSPTRG00000047338,3.06648,5.6003,2.20474,3.78557,5.01068
746143,NSPTRG00000047346,0.0450677,0.0531675,0.976788,1.49,0
463668,NSPTRG00000047353,0.6428251,0.0920953,21.565803,25.090595,1.986829
107971204,NSPTRG00000047355,0.106201,0,0.464436,0.432945,0
104007871,NSPTRG00000047364,0,0,0,0,0
466901,NSPTRG00000047379,8.62794,8.46964,14.87446,16.83472,9.490529
461587,NSPTRG00000047384,0,0,0.238671,0,0
740282,NSPTRG00000047385,0,0,0,0,0
457523,NSPTRG00000047386,0,0,0,0,0
107966291,NSPTRG00000047388,0,0,0,0,0
744747,NSPTRG00000047390,0.188808,0,0.467678,0,0
739500,NSPTRG00000047394,2.993197,3.37098,0.434358,0.3188477,2.627124
454687,NSPTRG00000047405,71.66551,51.37168,50.83746,45.26352,35.2056
740571,NSPTRG00000047431,0.0838205,0.0626542,0,0,0
745035,NSPTRG00000047433,0.946226,0.457964,11.72121194,7.63814,30.1442
100608033,NSPTRG00000047434,0.117077,0.345328,0.289921,0.595672,0.138201
107976547,NSPTRG00000047442,0.305375,0.120086,1.38676,1.026731,0.234724
457469,NSPTRG00000047448,0.131954,0.11531,0.127108,0.146887,0.0135233
739050,NSPTRG00000047450,0.273013,0.250507,0.262988,0.27352,0.1399
455923,NSPTRG00000047454,1.51046,0.593977,0.467678,0.756633,0
457620,NSPTRG00000047455,5.79226,4.55552,14.3475,2.63773,0.971384
107975991,NSPTRG00000047459,0,0.0126697,0,0.0322783,0
107969759,NSPTRG00000047461,0.110787,0.0300438,0.13721,0.29598,0.352347
457566,NSPTRG00000047463,0.0260152,0,0,0.0260635,0.0719869
472489,NSPTRG00000047469,0.0439547,0,0.054438,0,0
471337,NSPTRG00000047471,8.08035,5.97647,23.75917,48.04860046,10.8625
455050,NSPTRG00000047476,9.20867,7.88797,16.3938,27.6895,10.1633
463979,NSPTRG00000047481,29.3415,36.6696,8.29668,7.91945,17.5482
736674,NSPTRG00000047488,0,0,0.292401,0.23653,0
740613,NSPTRG00000047491,0.204341,1.27747,1.04241,1.92229,1.28568
746218,NSPTRG00000047504,4.42018,8.86837,5.27331,3.48849,1.64746
750446,NSPTRG00000047506,10.0773,3.26135,8.77957,4.59542,6.51719
460524,NSPTRG00000047510,0.732407,0.256114,0.7326482,0.633815,0.372088
107967308,NSPTRG00000047513,0,0,0,0,0
449638,NSPTRG00000047519,0.289252,0.103573,0.24887,0.292936,0.128004
461004,NSPTRG00000047528,5.80378,3.88016,7.4124,6.59503,4.29327
454147,NSPTRG00000047529,1.09442,0.344296,4.67626,8.66194,1.51419
100610925,NSPTRG00000047534,1.57495,0.969787,2.681297896,1.70367,0.885445
735480,NSPTRG00000047535,0.2230356,0,2.880465,0.4469,0
470738,NSPTRG00000047540,8.112228,7.44661,17.969585,21.90153,7.239551
107968875,NSPTRG00000047547,9.56805,2.42545,9.00996,8.47672,5.68903
