,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
785,794,ENSMUSG00000005045,0.0513964,0.0522913,0.0618548,0.0665387,0.1198753,0.1121065,0.100104,0.2176532,0.247450822,0.306071,0.00765889,0.011749206,0,0.010626006,269610
786,795,ENSMUSG00000005054,23.8998,20.8255,23.8639,20.9013,9.5303,14.4394,12.4855,90.3141,87.1753,82.2438,37.8886,48.0077,41.1159,42.2279,13014
787,796,ENSMUSG00000005057,0.714832509,0.815456509,0.986939809,0.893422004,2.000818,5.6466663,4.2223728,5.947939,7.4227881,7.813095283,2.7921172,5.310521,6.293354,5.80303925,23921
788,797,ENSMUSG00000005069,5.627970252,6.347111068,6.39556011,7.13371134,12.39665442,12.8117397,12.25124064,45.780702,44.219219,45.525263,72.44756,68.441685,71.432324,71.035282,19305
789,798,ENSMUSG00000005078,2.61856,4.005603,4.561286,5.181029,38.02642,31.739941,37.037456,66.070262,73.047593,71.449093,35.95942,43.16193,32.758948,34.969566,104771
790,799,ENSMUSG00000005087,11.690934,13.140634,12.928924,11.548973,4.319882,5.4018826,5.4557155,2.533675,2.441838,1.989898,0.8921664,1.5934967,2.535374,1.837667035,12505
791,800,ENSMUSG00000005089,0.29252075,0.853730308,0.9169546,0.4502917,0.1805323,0.0728254,0.2524598,4.565185,3.299213702,0.9613,97.83631,81.77413,79.314901,94.106183,20511
792,801,ENSMUSG00000005102,0.844525,1.50677379,0.768207,1.002429,2.084246,2.710582,2.702927,5.904686,6.034692,5.9923633,3.431596,3.818061,4.438213,4.300079,27103
793,802,ENSMUSG00000005103,10.4793932,14.646985,15.778043,14.0661986,62.694322,70.024934,69.411052,100.22969,96.013323,97.557301,31.153063,41.799387,40.935458,39.845239,22388
794,803,ENSMUSG00000005107,0.075991,0.2177925,0.665204,0.235969,0.602071,1.643413,0.886375,9.029418,7.762968,8.83422,33.4850994,35.797063,31.64015,32.561861,117591
795,804,ENSMUSG00000005124,0.211104,0.585941,0.3570488,0.574755,1.827071,2.685657,1.872054,2.277532,2.81333,3.747332,1.4668518,2.54347946,3.312117,2.1716081,22402
796,805,ENSMUSG00000005125,2.1233262,3.41061,2.8292902,2.1765906,20.928365,26.571256,28.0622675,1470.931696,1479.015496,1447.348523,22.475549,19.0189554,17.1040996,17.2380611,17988
797,806,ENSMUSG00000005131,0,0,0,0,0.3109963,0.3790857,0.1167047,1.165951,0.7005424,0.831699,0.257476,0.123016,0,0.0555975,75311
798,807,ENSMUSG00000005142,9.6931267,14.1040597,14.470606,14.498001,15.390104,19.61531,21.154798,76.405333,77.560346,80.340315,44.209771,61.928837,54.595561,57.903205,17159
799,808,ENSMUSG00000005148,2.2585307,2.439637,2.2352823,1.77648,0.1863917,0.986627,1.17,2.64705,2.71682,2.5654772,0.0879653,0.0680672,0.153877,0.0769418,12224
800,809,ENSMUSG00000005150,2.5991504,2.0400721,1.64787,3.074182005,17.076793,24.616346,22.3709994,27.596392,27.545078,28.291447,18.61517723,21.763843,25.925952,26.017308,67836
801,810,ENSMUSG00000005161,35.28623,38.628895,37.36708,39.53025,177.84725,197.3318,200.34264,201.0132,205.394648,193.768247,91.0384592,82.625324,73.69699,80.334039,21672
802,811,ENSMUSG00000005198,2.75697,4.690364641,5.242287,5.259551333,7.864503,8.9071527,9.222898,26.216697,26.568446,26.358703,8.624779773,9.71677,8.865238,9.607825,20020
803,812,ENSMUSG00000005202,0,0,0,0,0,0,0,0.33632,0.295636,0.217678,0.112961,0,0.456556,0,20415
804,813,ENSMUSG00000005204,19.853134,6.71213,9.617815,11.32261715,23.54166888,20.248764,21.382481,31.8751,30.594892,29.438393,17.544809,31.487064,22.3352049,30.053898,80886
805,814,ENSMUSG00000005220,0,0,0.04020165,0,39.770125,27.524412,25.769174,3.16328,4.430746,3.4566137,0.0673368,0.0230657,0.0136871,0.071269738,53419
806,815,ENSMUSG00000005225,0.867243,0.46066,0.412887,0.721742,2.417815,1.43978,1.45527,4.535409,4.501715,4.3640083,4.32489,2.802792,3.2831617,2.91098,231999
807,816,ENSMUSG00000005232,0,0,0,0,0,0,0,0.544012,0.667817,0.553706,0,0.2343467,0.1694837,0.406024,14378
808,817,ENSMUSG00000005233,0.522358,1.371218565,1.702535,1.012293,0.3127097,0.1340622,0.1702305,7.377601,8.577703,7.3683441,1.6391914,0.7578083,1.176218764,0.794099001,66442
809,818,ENSMUSG00000005237,0,0.015812059,0.492362,0.015094286,0.115774953,0.163021046,0.169272341,0.762000078,0.635496705,0.262317016,0.045074206,0.160889743,0.075114327,0.085363316,327954
810,819,ENSMUSG00000005251,2.67153,3.8978,3.13541,3.12822,0.0874468,0.358537,0.3684,8.89457,8.28885,8.52868,2.53515,2.23143,2.54012,2.6333,72388
811,820,ENSMUSG00000005262,7.3684424,8.448423,7.400584,5.40003,17.705504,18.879498,18.498857,25.177866,25.13295403,26.564797,19.992625,26.421164,26.275711,28.285728,22230
