"","ens_gene","Homo_sg_1","Homo_sg_2","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Homo_livr_1","Homo_livr_2","Homo_livr_3","gene_ids"
"12064","ENSG00000168884",2.016078,6.080416,41.53917,17.97124,18.03183,67.38661,31.36804,34.3665,15.33211,7.921769,6.693673,79155
"12065","ENSG00000168887",7.766524,7.302626,11.77518,18.64912,20.95432,27.61792,29.2631,19.57003,12.86951,6.562797,8.932508,388969
"12066","ENSG00000168890",3.573318,5.72818,9.835469,21.37334,14.22775,60.04008,63.22963,47.52669,22.94094,10.34318,13.13486,129303
"12067","ENSG00000168894",30.00667,30.63194,62.84217,64.02474,61.68107,150.7601,224.9091,164.9164,109.8888,69.15882,64.2491,51255
"12068","ENSG00000168899",5.824427,6.758933,76.00372,52.16353,63.2986,56.88092,77.0207,30.4926,38.89609,14.72112,26.22696,10791
"12069","ENSG00000168903",0,0.00900883,0,0.145043,0,0.101592,0,0.209664,0,0.0780542,0,10917
"12070","ENSG00000168904",5.934367,5.893822,8.519219,10.28915,10.05418,19.23736,33.82499,35.16387,14.07616,4.720484,23.71053,123355
"12071","ENSG00000168906",64.44681,26.9904,42.86492,117.1034,123.3075,112.4337,132.4367,187.795,54.70424,7.131975,40.38052,4144
"12072","ENSG00000168907",0.5999254,0.5861946,3.20105,4.173933,5.285129,43.12249,25.53305,29.13781,0.0773404,0.0760805,0.1084,255189
"12073","ENSG00000168913",0.156209,0.169292,0.100182,0.224105,0.745394,0.209292,0.965511,0.719885,14.049,1.10952,11.657,375704
"12074","ENSG00000168916",4.259824,2.06918,2.988324,3.410089,3.323062,6.242521,3.499441,7.159752,0.6039365,1.227601,1.184398,57507
"12075","ENSG00000168917",3.112838,0.9509154,3.218218,1.472663,1.984246,1.195764,0.500668,1.934574,0.423429,2.261055,0.797685,80723
"12076","ENSG00000168918",7.157414,7.040456,2.12886,3.370635,3.914028,1.207865,3.05534,1.434708,1.670366,0.1938961,0.8316516,3635
"12077","ENSG00000168924",2.124855,2.924157,16.18863,36.04108,36.15585,50.14757,25.72768,23.34759,23.48372,2.020978,3.570403,3954
"12078","ENSG00000168925",0.0302086,0.00496734,0.0881122,0,0.406817,0,13.3666,0.0526473,0.313246,0,0,1504
"12079","ENSG00000168928",0,0,0,0.079831,0,0.2857112,29.20911,0.210125,0.0305157,0,0,440387
"12080","ENSG00000168930",0,0,0,0,0,0,0,0,0,0,0,57093
"12081","ENSG00000168936",6.783294,11.81571,13.03381,56.86866,55.3944,45.52977,60.54874,41.82334,35.7627,7.994029,21.63315,92305
"12082","ENSG00000168938",13.45667,11.44393,16.54705,30.1414,33.19379,32.80182,16.29564,39.00407,12.20236,11.60422,12.25494,5480
"12083","ENSG00000168939",0.461321,0.329261,0.234117,0.471343,0.32516,0.252811,0.106937,0.409538,0.0800768,0.0601246,0.0854775,10251
"12084","ENSG00000168944",5.905627,3.184423,3.235079,1.987611,3.218316,7.52076,0.541029,7.230353,2.837834,0.8002605,2.777408,153241
"12085","ENSG00000168952",6.377446,11.43878,17.19357,8.025559,9.675931,2.029818,1.896679,4.161451,4.789229,2.738485,4.519082,29091
"12086","ENSG00000168955",0.0914336,0.0637708,0.0994423,0.18143,0.0488281,0.0687983,0.0796721,0.0709197,0.14029,0.0158002,0.0359062,79853
"12087","ENSG00000168958",28.14554,27.07398,30.79213,29.4781,28.53388,72.83716,50.87851,109.5778,21.76185,20.15148,27.60773,56947
"12088","ENSG00000168959",0,0.00392757,0.0164066,0,0,0.44034,0.03953,0.147573,0,0,0.00651389,2915
"12089","ENSG00000168961",3.505978,3.56518,10.80872,18.38023,20.98719,10.99215,14.24922,7.078123,9.687302,0.6154867,3.358341,3965
"12090","ENSG00000168967",0.00978287,0,0,0,0.157332,0.0364711,0.0780906,0.0463664,0.038047,0,0.0321326,5369
"12091","ENSG00000168970",1.349602,2.253077,3.99375,5.3797,4.062944,2.518346,2.61638,4.015747,1.566539,0.5863633,1.092737,8681
"12092","ENSG00000168993",0.496384,0.3955022,4.81299,4.64417,8.925701,7.661341,2.82527,1.11878,7.47991,0.608855,0.624867,10815
"12093","ENSG00000168994",7.190216,5.948839,19.53963,11.75969,13.41763,21.19098,21.66116,26.97699,82.123,60.09857,46.37806,221749
"12094","ENSG00000168995",0.1376851,0.1498217,0.3257665,0.728732,0.364807,0.680564,0.465205,0.533597,2.279879,1.774436,2.147682,27036
"12095","ENSG00000169006",0,0,0.0542307,0.121313,0.1614,0,0,0,0,0.052227,0,23620
"12096","ENSG00000169016",4.685377,2.333501,8.388415,11.09354,14.28189,9.829935,4.852916,9.257656,6.642678,2.228479,3.146328,1876
"12097","ENSG00000169018",8.856028,4.934798,6.518204,15.33238,19.6442,10.08836,2.020609,14.63814,9.20837,2.21903,4.06315,10116
"12098","ENSG00000169019",7.052046,4.51983,2.01411,2.32102,2.376307,16.7671,1.120024,46.3675,1.20036,4.84923,3.767556,54951
"12099","ENSG00000169020",151.5463,158.2475,483.4424,383.774,347.738,515.1671,176.6605,321.6286,172.2302,112.1903,197.5159,521
"12100","ENSG00000169021",14.9706,12.5902,16.7223,50.1076,56.1104,37.0118,37.6015,102.023,15.1591,21.6514,19.4598,7386
"12101","ENSG00000169026",0.6872816,1.955984,7.068395,12.48752,13.42675,7.657448,9.301456,6.898225,7.60547,0.668749,1.07512,84179
"12102","ENSG00000169031",0.3624881,0.3851535,3.567114,6.50058,3.939093,11.91819,11.94737,26.2447,0.563561,0.1843242,0.1511763,1285
"12103","ENSG00000169032",12.53429,9.34732,19.30112,19.54331,17.47551,23.19272,11.56978,30.29008,38.82917,19.90506,22.82548,5604
"12104","ENSG00000169035",3.381258,0.6187868,0.0435262,0.0970793,0.222391,14.43858,6.153126,11.19083,0.111296,0,0.0158225,5650
"12105","ENSG00000169040",0,0.00256442,0.0219551,0.0624812,0,0,0,0.00883407,0.0462716,0,0.0123833,5370
"12106","ENSG00000169045",173.1201,130.685,336.8053,226.9927,259.424,421.3194,175.414,263.5971,379.4049,37.32322,145.6205,3187
"12107","ENSG00000169047",0.949031,0.629389,5.320554,7.484716,6.61964,2.447748,6.76549,1.32448,11.28758,1.690642,7.48484,3667
"12108","ENSG00000169057",3.872092,4.350708,16.85238,10.41768,8.956785,14.60906,17.04457,14.94196,8.449097,4.695802,4.012821,4204
"12109","ENSG00000169059",0.02642432,0.01638931,0,0.45756,1.41067,0.262655,0,0.169041,0.127436,0,0.2165685,51481
"12110","ENSG00000169062",14.10806,13.52018,27.77916,19.14658,25.45111,57.70062,16.69831,50.9806,17.76488,5.477934,12.37146,65110
"12111","ENSG00000169064",0.1026174,0,0,0.055659,0,0.0519802,0,0.26625,0,0,0.0849527,79740
"12112","ENSG00000169067",0.0695036,0.0194512,0.0277048,0.2479,0.123681,0,0.0333759,0,0,0,0,345651
"12113","ENSG00000169071",0.2352789,0.1828182,0.622072,1.428027,1.05794,0.668356,1.62728,0.447007,0,0.0684671,0.04824193,4920
"12114","ENSG00000169083",1.03215,0.5392946,1.717461,6.376246,7.177375,2.13025,1.817184,2.485348,7.436833,1.117471,11.86067,367
"12115","ENSG00000169084",3.756207,8.652585,10.4359,36.01834,39.36317,31.19827,45.90156,29.02575,26.91622,9.34897,23.1402,207063
"12116","ENSG00000169085",0.1417129,0.015463,0.287736,0.3147316,0.47059,0.3366723,0,1.966286,0.106576,0.10824,2.156819,254778
"12117","ENSG00000169087",2.41952,1.278199,3.150369,2.362078,2.238511,3.953145,2.584615,6.284155,1.698654,1.137496,2.23876,79663
"12118","ENSG00000169093",2.839114,5.96464,19.42205,31.9864,31.62171,30.4928,43.25303,19.02715,37.86206,5.559719,16.16888,8623
"12119","ENSG00000169105",1.589731,2.227881,5.946113,7.96204,8.22518,5.55496,8.82796,5.175431,3.22255,2.076831,3.08533,113189
"12120","ENSG00000169116",18.1287,9.30196,12.8406,31.23097,29.47049,39.65081,37.05367,47.23907,0.1900807,0.202743,0.2182999,25849
"12121","ENSG00000169118",2.908102,1.313958,0.7493138,2.588335,3.178326,4.214944,2.752314,5.129995,0.7229498,0.5238296,0.576348,53944
"12122","ENSG00000169122",3.21194,2.386298,9.08582,11.11084,12.25313,7.047244,8.506044,7.346086,3.096811,3.621519,2.077118,90362
"12123","ENSG00000169126",0.2231668,0.07960505,0.06265604,0.35344,0.548175,0.1982478,0.18904,0.562469,0.046504,0,0.1144752,55130
"12124","ENSG00000169129",2.672319,1.789189,3.182273,4.550266,5.222933,12.3887,16.14062,12.30623,1.183077,0.1972462,0.6897241,84632
