"","moduleColors","gene"
"1918","turquoise","107293802"
"1919","turquoise","107293804"
"1920","turquoise","107293805"
"1921","turquoise","107293812"
"1922","turquoise","107293815"
"1923","turquoise","107293817"
"1924","turquoise","107293822"
"1925","turquoise","107293829"
"1926","turquoise","107293840"
"1927","turquoise","107293848"
"1928","turquoise","107293853"
"1929","turquoise","107293857"
"1930","turquoise","107293860"
"1931","turquoise","107293863"
"1932","turquoise","107293876"
"1933","turquoise","107293880"
"1934","turquoise","107293892"
"1935","turquoise","107293896"
"1936","turquoise","107293897"
"1937","turquoise","107293902"
"1938","turquoise","107293907"
"1939","turquoise","107293908"
"1940","turquoise","107293910"
"1941","turquoise","107293919"
"1942","turquoise","107293921"
"1943","turquoise","107293923"
"1944","turquoise","107293929"
"1945","turquoise","107293935"
"1946","turquoise","107293937"
"1947","turquoise","107293957"
"1948","turquoise","107293958"
"1949","turquoise","107293965"
"1950","turquoise","107293977"
"1951","turquoise","107293978"
"1952","turquoise","107293984"
"1953","turquoise","107294014"
"1954","turquoise","107294017"
"1955","turquoise","107294030"
"1956","turquoise","107294038"
"1957","turquoise","107294039"
"1958","turquoise","107294045"
"1959","turquoise","107294046"
"1960","turquoise","107294071"
"1961","turquoise","107294079"
"1962","turquoise","107294083"
"1963","turquoise","107294090"
"1964","turquoise","107294091"
"1965","turquoise","107294092"
"1966","turquoise","107294095"
"1967","turquoise","107294096"
"1968","turquoise","107294100"
"1969","turquoise","107294107"
"1970","turquoise","107294109"
"1971","turquoise","107294110"
"1972","turquoise","107294120"
"1973","turquoise","107294130"
"1974","turquoise","107294148"
"1975","turquoise","107294150"
"1976","turquoise","107294158"
"1977","turquoise","107294172"
"1978","turquoise","107294174"
"1979","turquoise","107294175"
"1980","turquoise","107294181"
"1981","turquoise","107294203"
"1982","turquoise","107294215"
"1983","turquoise","107294223"
"1984","turquoise","107294227"
"1985","turquoise","107294238"
"1986","turquoise","107294267"
"1987","turquoise","107294269"
"1988","turquoise","107294271"
"1989","turquoise","107294273"
"1990","turquoise","107294279"
"1991","turquoise","107294284"
"1992","turquoise","107294296"
"1993","turquoise","107294298"
"1994","turquoise","107294303"
"1995","turquoise","107294309"
"1996","turquoise","107294311"
"1997","turquoise","107294312"
"1998","turquoise","107294315"
"1999","turquoise","107294317"
"2000","turquoise","107294319"
"2001","turquoise","107294320"
"2002","turquoise","107294324"
"2003","turquoise","107294325"
"2004","turquoise","107294327"
"2005","turquoise","107294339"
"2006","turquoise","107294341"
"2007","turquoise","107294346"
"2008","turquoise","107294347"
"2009","turquoise","107294354"
"2010","turquoise","107294367"
"2011","turquoise","107294375"
"2012","turquoise","107294381"
"2013","turquoise","107294382"
"2014","turquoise","107294409"
"2015","turquoise","107294415"
"2016","turquoise","107294417"
"2017","turquoise","107294418"
"2018","turquoise","107294454"
"2019","turquoise","107294455"
"2020","turquoise","107294462"
"2021","turquoise","107294469"
"2022","turquoise","107294476"
"2023","turquoise","107294480"
"2024","turquoise","107294485"
"2025","turquoise","107294487"
"2026","turquoise","107294488"
"2027","turquoise","107294495"
"2028","turquoise","107294506"
"2029","turquoise","107294513"
"2030","turquoise","107294524"
"2031","turquoise","107294531"
"2032","turquoise","107294532"
"2033","turquoise","107294533"
"2034","turquoise","107294535"
"2035","turquoise","107294543"
"2036","turquoise","107294545"
"2037","turquoise","107294561"
"2038","turquoise","107294588"
"2039","turquoise","107294597"
"2040","turquoise","107294602"
"2041","turquoise","107294605"
"2042","turquoise","107294606"
"2043","turquoise","107294617"
"2044","turquoise","107294622"
"2045","turquoise","107294626"
"2046","turquoise","107294627"
"2047","turquoise","107294631"
"2048","turquoise","107294649"
"2049","turquoise","107294653"
"2050","turquoise","107294655"
"2051","turquoise","107294656"
"2052","turquoise","107294667"
"2053","turquoise","107294668"
"2054","turquoise","107294670"
"2055","turquoise","107294676"
"2056","turquoise","107294688"
"2057","turquoise","107294694"
"2058","turquoise","107294697"
"2059","turquoise","107294698"
"2060","turquoise","107294700"
"2061","turquoise","107294707"
"2062","turquoise","107294712"
"2063","turquoise","107294714"
"2064","turquoise","107294718"
"2065","turquoise","107294724"
"2066","turquoise","107294743"
"2067","turquoise","107294750"
"2068","turquoise","107294751"
"2069","turquoise","107294762"
"2070","turquoise","107294768"
"2071","turquoise","107294775"
"2072","turquoise","107294777"
"2073","turquoise","107294778"
"2074","turquoise","107294779"
"2075","turquoise","107294786"
"2076","turquoise","107294791"
"2077","turquoise","107294818"
"2078","turquoise","107294821"
"2079","turquoise","107294822"
"2080","turquoise","107294825"
"2081","turquoise","107294826"
"2082","turquoise","107294831"
"2083","turquoise","107294832"
"2084","turquoise","107294834"
"2085","turquoise","107294847"
"2086","turquoise","107294849"
"2087","turquoise","107294852"
"2088","turquoise","107294858"
"2089","turquoise","107294868"
"2090","turquoise","107294869"
"2091","turquoise","107294875"
"2092","turquoise","107294881"
"2093","turquoise","107294884"
"2094","turquoise","107294896"
"2095","turquoise","107294904"
"2096","turquoise","107294910"
"2097","turquoise","107294921"
"2098","turquoise","107294923"
"2099","turquoise","107294927"
"2100","turquoise","107294934"
"2101","turquoise","107294951"
"2102","turquoise","107294952"
"2103","turquoise","107294954"
"2104","turquoise","107294960"
"2105","turquoise","107294967"
"2106","turquoise","107294970"
"2107","turquoise","107294973"
"2108","turquoise","107294977"
"2109","turquoise","107294978"
"2110","turquoise","107294980"
"2111","turquoise","107294981"
"2112","turquoise","107294989"
"2113","turquoise","107294995"
"2114","turquoise","107295007"
"2115","turquoise","107295010"
"2116","turquoise","107295016"
"2117","turquoise","107295017"
"2118","turquoise","107295021"
"2119","turquoise","107295023"
"2120","turquoise","107295026"
"2121","turquoise","107295027"
"2122","turquoise","107295044"
"2123","turquoise","107295049"
"2124","turquoise","107295054"
"2125","turquoise","107295057"
"2126","turquoise","107295058"
"2127","turquoise","107295083"
"2128","turquoise","107295084"
"2129","turquoise","107295085"
"2130","turquoise","107295087"
"2131","turquoise","107295088"
"2132","turquoise","107295097"
"2133","turquoise","107295102"
"2134","turquoise","107295103"
"2135","turquoise","107295111"
"2136","turquoise","107295114"
"2137","turquoise","107295122"
"2138","turquoise","107295144"
"2139","turquoise","107295147"
"2140","turquoise","107295152"
"2141","turquoise","107295154"
"2142","turquoise","107295160"
"2143","turquoise","107295173"
"2144","turquoise","107295174"
"2145","turquoise","107295176"
"2146","turquoise","107295192"
"2147","turquoise","107295193"
"2148","turquoise","107295203"
"2149","turquoise","107295205"
"2150","turquoise","107295212"
"2151","turquoise","107295213"
"2152","turquoise","107295214"
"2153","turquoise","107295223"
"2154","turquoise","107295228"
"2155","turquoise","107295249"
"2156","turquoise","107295258"
"2157","turquoise","107295262"
"2158","turquoise","107295271"
"2159","turquoise","107295273"
"2160","turquoise","107295274"
"2161","turquoise","107295275"
"2162","turquoise","107295281"
"2163","turquoise","107295296"
"2164","turquoise","107295304"
"2165","turquoise","107295317"
"2166","turquoise","107295320"
"2167","turquoise","107295323"
"2168","turquoise","107295325"
"2169","turquoise","107295338"
"2170","turquoise","107295358"
"2171","turquoise","107295364"
"2172","turquoise","107295366"
"2173","turquoise","107295369"
"2174","turquoise","107295378"
"2175","turquoise","107295401"
"2176","turquoise","107295417"
"2177","turquoise","107295419"
"2178","turquoise","107295426"
"2179","turquoise","107295429"
"2180","turquoise","107295432"
"2181","turquoise","107295435"
"2182","turquoise","107295448"
"2183","turquoise","107295451"
"2184","turquoise","107295460"
"2185","turquoise","107295477"
"2186","turquoise","107295484"
"2187","turquoise","107295497"
"2188","turquoise","107295499"
"2189","turquoise","107295502"
"2190","turquoise","107295506"
"2191","turquoise","107295507"
"2192","turquoise","107295510"
"2193","turquoise","107295515"
"2194","turquoise","107295526"
"2195","turquoise","107295535"
"2196","turquoise","107295538"
"2197","turquoise","107295540"
"2198","turquoise","107295574"
"2199","turquoise","107295579"
"2200","turquoise","107295585"
"2201","turquoise","107295587"
"2202","turquoise","107295590"
"2203","turquoise","107295596"
"2204","turquoise","107295598"
"2205","turquoise","107295603"
"2206","turquoise","107295604"
"2207","turquoise","107295614"
"2208","turquoise","107295622"
"2209","turquoise","107295624"
"2210","turquoise","107295625"
"2211","turquoise","107295629"
"2212","turquoise","107295633"
"2213","turquoise","107295635"
"2214","turquoise","107295641"
"2215","turquoise","107295642"
"2216","turquoise","107295651"
"2217","turquoise","107295655"
"2218","turquoise","107295666"
"2219","turquoise","107295677"
"2220","turquoise","107295686"
"2221","turquoise","107295724"
"2222","turquoise","107295725"
"2223","turquoise","107295727"
"2224","turquoise","107295733"
"2225","turquoise","107295751"
"2226","turquoise","107295755"
"2227","turquoise","107295759"
"2228","turquoise","107295761"
"2229","turquoise","107295779"
"2230","turquoise","107295787"
"2231","turquoise","107295806"
"2232","turquoise","107295821"
"2233","turquoise","107295827"
"2234","turquoise","107295829"
"2235","turquoise","107295838"
"2236","turquoise","107295841"
"2237","turquoise","107295844"
"2238","turquoise","107295848"
"2239","turquoise","107295878"
"2240","turquoise","107295886"
"2241","turquoise","107295888"
"2242","turquoise","107295906"
"2243","turquoise","107295910"
"2244","turquoise","107295923"
"2245","turquoise","107295925"
"2246","turquoise","107295926"
"2247","turquoise","107295936"
"2248","turquoise","107295943"
"2249","turquoise","107295987"
"2250","turquoise","107295989"
"2251","turquoise","107296002"
"2252","turquoise","107296008"
"2253","turquoise","107296020"
"2254","turquoise","107296026"
"2255","turquoise","107296029"
"2256","turquoise","107296034"
"2257","turquoise","107296039"
"2258","turquoise","107296040"
"2259","turquoise","107296041"
"2260","turquoise","107296049"
"2261","turquoise","107296050"
"2262","turquoise","107296055"
"2263","turquoise","107296058"
"2264","turquoise","107296062"
"2265","turquoise","107296064"
"2266","turquoise","107296068"
"2267","turquoise","107296096"
"2268","turquoise","107296101"
"2269","turquoise","107296102"
"2270","turquoise","107296104"
"2271","turquoise","107296109"
"2272","turquoise","107296112"
"2273","turquoise","107296114"
"2274","turquoise","107296129"
"2275","turquoise","107296136"
"2276","turquoise","107296147"
"2277","turquoise","107296153"
"2278","turquoise","107296164"
"2279","turquoise","107296190"
"2280","turquoise","107296203"
"2281","turquoise","107296207"
"2282","turquoise","107296208"
"2283","turquoise","107296218"
"2284","turquoise","107296220"
"2285","turquoise","107296223"
"2286","turquoise","107296230"
"2287","turquoise","107296232"
"2288","turquoise","107296239"
"2289","turquoise","107296249"
"2290","turquoise","107296256"
"2291","turquoise","107296260"
"2292","turquoise","107296274"
"2293","turquoise","107296277"
"2294","turquoise","107296279"
"2295","turquoise","107296284"
