FamilyID	Human<0>	Chimp<1>	Cobra<2>	Habu<3>	<4>	Mouse<5>	Anole<6>	<7>	<8>	Dog<9>	<10>	Chicken<11>	<12>	<13>	<14>	Frog<15>	<16>
120	+1	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0	+0	+1	+0	+0	-2	+0
121	+0	-1	+0	+2	+0	+0	-1	+3	+0	+0	+0	+1	+1	+0	+0	-1	+0
122	+0	+1	+2	-1	+2	-1	-1	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0
123	+0	+0	+4	-1	+0	+0	+0	+2	+0	+2	+0	+1	+0	+0	+0	-1	+0
124	-3	+5	-2	+3	+2	-2	+1	+1	+0	+2	+0	-1	+3	+0	+0	-3	+0
125	-1	+1	-1	+4	+1	+0	-1	+2	+0	+0	+0	+0	-1	+0	+0	+1	+0
126	+1	+0	+7	-4	+0	+0	+0	+3	+0	+0	+0	-2	-1	+0	+0	+1	+0
127	+2	-1	-2	+2	+1	-2	-1	-2	+0	+1	-1	-1	-1	+0	+0	+7	+0
128	+0	+0	+0	+2	+0	-1	-1	+1	+0	+1	-1	+2	+1	+0	+0	-1	+0
129	+1	-1	-2	+4	+0	+2	-1	+1	+0	-1	+0	-2	+0	+0	+0	+2	+0
130	+0	+1	+0	+2	+0	+0	+0	+3	+0	+0	+0	-1	-1	+0	+0	-1	+0
131	+0	-1	-1	+1	+0	-1	-1	+0	+0	+1	-1	+1	+2	+0	+0	-1	+0
132	-1	+1	+0	+0	+1	+1	+2	-1	+0	-1	+1	-3	+0	+0	+0	+0	+0
133	+4	-2	+1	+0	+2	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0
134	+0	+1	+1	+0	+2	+1	+0	+2	+0	-2	+0	-1	+1	+0	+0	-1	+0
135	+0	+0	-1	+1	-1	+1	-1	+1	+0	-1	-1	+1	+0	+0	+0	+4	+0
136	+0	+0	+0	+0	+0	+0	-1	+0	+0	+1	+0	+0	-1	+0	+0	+5	+0
137	+0	+1	-1	+2	+0	+1	+1	+1	+0	+0	+1	+0	+0	+0	+0	-1	+0
138	+1	-2	-1	+1	+0	+5	+0	-1	+0	-1	+0	+0	+2	+0	+0	-1	+0
139	-1	+0	-1	+3	+0	+0	+0	+2	+0	+0	+0	+0	+1	+0	+0	-1	+0
140	-1	+2	+1	+0	+0	+2	-1	+2	+0	-1	-1	-1	+1	+0	+0	+1	+0
141	-1	+2	+0	+1	+2	+2	+0	+2	+0	-3	+0	-1	+2	+0	+0	+0	+0
142	+0	+0	+4	-2	-1	+3	-1	+1	+0	+0	+0	+0	-1	+0	+0	+6	+0
143	+1	+0	+0	+0	+1	+2	+0	+0	+0	-2	+0	-2	+1	+0	+0	+1	+0
144	-1	+0	+1	+3	+0	-1	-1	+4	+0	+2	+0	+0	+1	+0	+0	-1	+0
145	+0	+0	-1	+1	+0	+0	-1	+1	+0	-1	-1	+0	+1	+0	+0	+4	+0
146	+0	+0	-1	+1	+0	+0	+0	+1	+0	-1	+0	+1	+1	+0	+0	-1	+0
147	+0	+0	+7	+0	+0	+0	-1	+7	+0	+1	+0	+1	+0	+0	+0	+0	+0
148	+0	+0	+3	-1	+1	-2	-1	+4	+0	+0	+0	-1	+1	+0	+0	+1	+0
149	+1	+0	+2	+0	+1	+0	-2	+3	+0	+1	+0	+0	+1	+0	+0	-1	+0
150	-1	+1	-1	+1	+0	+0	-1	-1	+0	+1	-1	+0	-1	+0	+0	+2	+0
151	+0	+1	+3	+0	+0	+0	+0	+3	+0	+0	+0	-1	+0	+0	+0	+1	+0
152	+0	+0	+0	+3	+1	+0	+0	+4	+0	-1	+0	-1	+0	+0	+0	-2	+0
153	+0	+0	+2	+0	+0	+0	+0	+3	+0	+1	+0	+0	+0	+0	+0	+0	+0
154	-1	+0	-3	+3	+0	-1	+1	-1	+0	+2	+1	+0	+0	+0	+0	-2	+0
155	+0	+0	+0	+0	+0	+0	+0	+1	+0	+2	+0	+0	+1	+0	+0	+1	+0
156	+0	+0	+2	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+1	+0
157	+0	+0	+2	+0	+1	-1	-1	+3	+0	-1	+0	+0	+0	+0	+0	+0	+0
158	+0	+1	-1	+1	+0	+1	+1	+1	+0	+0	+1	+0	+0	+0	+0	-1	+0
159	+0	-1	-1	+0	+0	+0	+1	+0	+0	-1	+1	+0	-1	+0	+0	+0	+0
160	+0	+0	+0	+2	-1	+1	+0	+1	+0	-1	+0	-1	-1	+0	+0	+0	+0
161	+0	+0	+0	+0	-1	+0	-1	+1	+0	+1	-1	+1	+0	+0	+0	-1	+0
162	+0	+0	+2	-1	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0
163	-1	+0	-2	+6	+0	+0	-2	+2	+0	+0	-1	-1	+1	+0	+0	+1	+0
164	-1	+1	+0	+0	+1	+2	+0	+1	+0	-2	+0	-2	+1	+0	+0	-1	+0
165	+0	+0	+0	+3	+0	+0	-1	+5	+0	+0	+0	+1	+0	+0	+0	+0	+0
166	+4	-1	+1	+0	+3	-1	-1	+0	+0	+0	-1	+0	+2	+0	+0	-1	+0
167	+1	+0	-1	+1	+1	-2	+1	+1	+0	+0	+0	-1	+0	+0	+0	+0	+0
168	+4	-1	+0	+0	+4	+0	-1	+0	+0	-1	-1	-2	+0	+0	+0	+8	+0
169	-1	+0	+1	+1	+0	+0	+0	+1	+0	+3	+1	-1	+1	+0	+0	-1	+0
170	+0	+0	+0	+2	+1	+0	+0	+2	+0	-1	+0	+0	+1	+0	+0	+0	+0
171	+1	+0	+1	+1	+0	-1	-1	+1	+0	+0	+0	-1	+0	+0	+0	+0	+0
172	+0	+0	-1	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0
173	+0	+0	-1	+2	-1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	+0
174	+0	+0	+1	+1	+0	+1	-2	+2	+0	-1	+0	-2	+1	+0	+0	+4	+0
175	+0	+0	-1	+0	+4	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0
176	+0	+0	+1	+2	+1	+0	+0	+3	+0	+0	+0	-1	+0	+0	+0	-1	+0
177	+0	-1	-1	+4	+0	-1	+0	+2	+0	+1	+0	+0	+1	+0	+0	-1	+0
178	-1	+2	+0	+1	+0	+0	+0	+0	+0	-1	+0	+1	+2	+0	+0	-1	+0
179	+0	+2	-2	+2	+0	+0	+0	+1	+0	+0	+0	+0	-1	+0	+0	+0	+0
180	-1	+1	+1	-1	+0	+0	+0	+1	+0	-1	+0	-1	+2	+0	+0	+1	+0
181	+0	+0	+0	+1	+0	+0	-1	+1	+0	+1	+0	+1	-1	+0	+0	-1	+0
182	+0	+0	-1	+2	+0	+0	+1	+1	+0	+0	+0	-1	-1	+0	+0	+0	+0
183	+1	+0	+0	+0	+0	+0	+1	-1	+0	+0	+1	-3	-1	+0	+0	+2	+0
184	+1	+0	+0	+1	+0	-1	-1	+2	+0	+0	+0	-1	+1	+0	+0	-1	+0
185	+0	+1	-1	+1	+0	+0	+2	+1	+0	-1	+1	-1	+0	+0	+0	+0	+0
186	+0	+0	+1	+1	+0	+0	+0	+4	+0	+0	+0	+1	-1	+0	+0	-2	+0
187	+0	-1	-1	+2	+0	+3	-1	+1	+0	-2	+0	+0	+1	+0	+0	-1	+0
188	+0	+0	+0	+2	+1	-1	+1	+2	+0	+0	+1	+0	-1	+0	+0	-2	+0
189	+0	+0	+1	+1	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0
190	+1	+0	+3	-1	+0	+0	-1	+1	+0	-1	+0	+0	+0	+0	+0	+1	+0
191	+0	+0	-1	+2	+0	+1	+1	+0	+0	+0	+1	-1	+0	+0	+0	-1	+0
192	+0	+0	+1	+0	-2	+1	-1	+1	+0	+2	+0	-1	+1	+0	+0	-1	+0
193	+0	+0	+0	+0	-1	+1	+0	+0	+0	+1	+0	-1	+1	+0	+0	+0	+0
194	+0	+0	-2	+3	+0	-1	+1	+1	+0	+0	+0	+1	+0	+0	+0	-1	+0
195	+0	+0	-1	+1	+0	+0	+0	+1	+0	+1	+0	-2	+0	+0	+0	+1	+0
196	+0	+0	+2	+0	+0	+1	-1	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0
197	+1	-1	-1	+1	+0	+0	-1	+0	+0	-1	+0	-1	+1	+0	+0	+1	+0
198	+0	+1	-1	+1	+0	+0	-1	+1	+0	+1	+0	-1	+0	+0	+0	+0	+0
199	+0	+0	-1	+1	+0	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0
200	+0	-1	-1	+1	-1	+2	+1	+1	+0	+0	+0	+1	+0	+0	+0	-2	+0
201	+1	+0	+0	+0	+0	+0	+1	+0	+0	-1	+0	-2	+1	+0	+0	-2	+0
202	+0	+0	+8	-2	-1	+0	+0	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0
203	+0	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0	+0	+0	+0	+0	+0	+0
204	+0	+1	-1	+2	+0	+0	+0	+0	+0	+0	+0	-2	+0	+0	+0	+0	+0
205	-1	+1	-1	+1	+0	+0	+0	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0
206	+0	+0	-2	+3	+0	+1	-1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
207	+0	-1	+0	+0	+0	+0	+0	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0
208	+0	+0	+0	+2	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+2	+0
209	-1	+1	-1	+1	+0	+0	+0	+1	+0	-1	+0	-1	+0	+0	+0	-1	+0
210	+0	+2	+0	+2	+1	-1	+0	+1	+0	+1	+0	+0	+0	+0	+0	-1	+0
211	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+1	-1	+0	+0	-1	+0
212	+0	+0	+4	-1	+0	+0	+0	+2	+0	+0	+0	-1	+0	+0	+0	+1	+0
213	+0	+0	+0	+1	-1	+0	+0	+2	+0	+0	+0	+0	+1	+0	+0	+0	+0
214	+0	+0	-1	+2	+0	+1	+0	+2	+0	+0	+0	+1	+0	+0	+0	+0	+0
215	+0	+0	+0	+2	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0
216	+0	+1	-1	+2	+0	+1	+1	+0	+0	+0	+0	-1	+1	+0	+0	-1	+0
217	+0	+0	+0	+2	+0	+0	+0	+1	+0	-2	+0	-1	-1	+0	+0	+0	+0
218	+0	+0	+0	+1	+0	-1	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0
219	+0	+0	+0	+1	+0	+1	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0
220	+0	+0	+1	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0
221	+0	+0	+0	+1	+0	+0	+0	+3	+0	+0	+1	-1	-1	+0	+0	+0	+0
222	+0	+0	+1	+0	-1	-1	+0	+0	+0	+1	+0	+0	-1	+0	+0	+1	+0
223	+0	+0	-1	+1	+0	-1	+1	+0	+0	+1	+0	-2	-1	+0	+0	+0	+0
224	+0	+0	+0	+0	-1	+2	+0	+0	+0	+0	+0	+1	+1	+0	+0	-1	+0
225	-1	+0	+3	-1	+0	-1	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0
226	+0	+0	+0	+1	+0	+1	-1	+1	+0	+0	+0	+0	-1	+0	+0	+4	+0
227	+0	+0	-1	+2	+0	+0	+1	+1	+0	+0	+1	+0	-1	+0	+0	+0	+0
228	+0	+0	+3	-1	+0	-1	-1	+2	+0	+0	+0	-1	+0	+0	+0	-1	+0
229	+0	+0	+0	+2	+0	+0	-1	+1	+0	+1	+0	+1	-1	+0	+0	+1	+0
230	-1	+0	+1	+0	+0	+0	-1	+1	+0	+3	-1	-1	+0	+0	+0	+1	+0
231	+0	-1	-1	+3	+0	+0	-1	+0	+0	+2	+0	+0	+0	+0	+0	-1	+0
232	+0	+0	+0	+0	+0	+0	+0	+1	+0	-1	+0	+0	+0	+0	+0	-1	+0
233	+0	+0	+0	+1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
234	+0	+0	-1	+3	+0	+1	+0	+1	+0	+0	+0	+0	-1	+0	+0	-1	+0
235	+0	+0	+2	+0	+0	+0	+0	+1	+0	+0	+0	+0	-1	+0	+0	-1	+0
236	+0	+0	+1	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0
237	+0	+0	+1	+0	+0	+2	+0	+0	+0	+0	+0	+1	-1	+0	+0	-1	+0
238	+0	+0	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
239	+0	+0	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	-1	+0	+0	+2	+0
240	+0	-1	+1	-1	+0	+0	+1	+1	+0	+0	+0	+0	-1	+0	+0	+0	+0
241	+0	+2	+0	+1	+1	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
242	+0	+0	+0	+2	+1	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0
243	+0	+0	+1	+0	+0	+0	+0	+2	+0	+1	+0	+0	+0	+0	+0	+0	+0
244	+0	+0	-1	+2	-1	+0	+0	+1	+0	+1	+0	+0	+1	+0	+0	+0	+0
245	+0	+0	+1	+1	+0	+2	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0
246	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0
247	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0
248	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0
249	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
250	+0	+0	-1	+3	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0
251	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
252	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
