ens_gene,Canis_sg_1,Canis_sg_2,Canis_hrt_1,Canis_hrt_2,Canis_hrt_3,Canis_kidn_1,Canis_kidn_2,Canis_kidn_3,Canis_livr_1,Canis_livr_2,Canis_livr_3,gene_ids
ENSCAFG00000011170,3.552756,2.156109,0.609734635,1.8829,3.264966,3.6856615,3.405451186,4.27236,1.796818,3.321708,1.524655,610194
ENSCAFG00000011171,3.266817,6.24855,0.1682133,0.536059,0.35117,0.405471943,7.31746,1.4713264,0.545051,0.498104,0.448080278,476003
ENSCAFG00000011172,39.98,21.6126,16.969021,49.3052,113.106289,66.79505,89.46517,92.100985,16.4179,23.783,7.8646,608384
ENSCAFG00000011174,2.39608,1.52742,0.756855,2.19354,1.4993,4.01531,1.8682,2.32542,1.10257,1.38789,2.14346,608886
ENSCAFG00000011176,0,0.193047,0.0132872,0.320534,0.166257,0.150501,0,0.7732753,0.0516957,0.0349334,9.41767,490252
ENSCAFG00000011177,0.0372626,0.5034546,0.1584309,0.722656,0.703557,87.4185,11.1847,4.2766,0.414067,0.257704,0.565181791,490602
ENSCAFG00000011179,0.0201994,14.7778,2.83668,6.95316,10.3731,25.2844,19.524,15.1235,0,0.041223,22.0707,491596
ENSCAFG00000011180,0,0,0.446721,3.80182,0.00588621,0.393992,0,1.0139,0,0,0.137523,491721
ENSCAFG00000011181,11.2141,3.84039,0.9714591,4.34014,7.467696,6.059552059,6.17313,4.2678837,3.92403,5.101387001,3.394403051,477256
ENSCAFG00000011183,20.75876,12.64002,4.04731,10.147884,14.54862,28.53639,34.7934,12.25066,11.58004,10.10868,12.21014,486625
ENSCAFG00000011184,14.4461,4.64254,2.24786,8.74166,6.80431,16.0547,12.0495,11.3765,0.0421336,0.0374152,23.643,489311
ENSCAFG00000011185,0,0,0,0,0,3.653613,1.15481,0.244167,0.385952,0.551239,0.8692517,486316
ENSCAFG00000011186,10.6446,9.36007,1.04798,3.42855,7.46306,5.22432,11.2756,4.58657,3.88577,5.50299,3.15749,477824
ENSCAFG00000011188,41.539234,32.10202,0,0.245512,0.0478017,6.73658,14.978706,6.0991026,1.144110002,1.20083,0.147673,478774
ENSCAFG00000011191,0.250124,122.08168,58.25139,38.83472,130.93287,52.32276,0.286352,114.70259,0.139121,0,33.035,480240
ENSCAFG00000011192,0,0,0,0,0,0,0,0,0,0,0,491723
ENSCAFG00000011195,0,0.0127174,0.0706991,0.0738472,0.10789378,0.1764664,0.0533546,0.158877,0,0.322465,0.0832244,403736
ENSCAFG00000011196,9.232628929,3.998875529,5.787635752,21.29451627,15.9991,15.4097453,20.47785013,10.9186677,40.41777833,0.0368493,27.2015379,488958
ENSCAFG00000011197,0.0559299,22.9874927,2.06954,7.14549,7.30142,18.91379,0.0406537,22.04258,0,0.0281156,7.50409,403823
ENSCAFG00000011198,0.0119887,0,0,0.0171663,0.00912063,0,0,0.00450062,0,0,0.0139765,488722
ENSCAFG00000011200,15.70185,7.52973,0.4707,1.856677,5.21671,11.52835,43.0481,17.7708,8.70842,9.54646,9.23289,478505
ENSCAFG00000011204,305.191,629.6562,369.911,346.661,1264.63,213.744,650.5559,344.79806,366.365,160.8563,130.20404,478577
ENSCAFG00000011205,24.78853,14.56203,2.81653746,16.812748,29.09771002,20.894909,24.4951996,13.17822,13.706719,15.444193,16.713982,478158
ENSCAFG00000011206,19.396646,17.823551,4.163437,18.93212,54.16033,9.50028,26.75906,7.01654,14.826992,15.163701,15.78231,486897
ENSCAFG00000011207,39.1501,25.0351,21.2301,66.8836,127.838,24.9956,66.6775,29.0028,21.1775,39.6893,14.0855,476623
ENSCAFG00000011211,5.8596,7.84665,0,0.206079,0,3.57776,0.370444,0.428801,0.0540202,0,0.165074,486161
ENSCAFG00000011212,6.84539,4.2775538,1.270628,5.75002,9.85863,7.36067,9.636537,6.078933,4.901271,4.97366,3.52298,488084
ENSCAFG00000011215,26.8698,20.20899,12.663072,22.6203,44.83146,34.461972,37.53942,25.75702,0,0.259443,28.9519,489312
ENSCAFG00000011216,89.048774,90.876363,225.488286,259.8579613,426.279465,1338.966509,1473.949184,226.65468,405.109762,417.96695,298.923101,478506
ENSCAFG00000011217,0.205125,13.766658,5.008723028,9.75462,11.9119,22.2787,0.0395797,30.42054,0,0,10.3694,480241
ENSCAFG00000011219,5.84929,13.0245,1.155,34.8237,17.3405,1.11504,0.875962,0.038809,0.402771,1.24494,0.703471,493972
ENSCAFG00000011221,57.008345,46.40637,12.85084,21.94373,82.31195,16.422359,35.09439,28.70903,24.43117,18.94732,9.138343,486626
ENSCAFG00000011222,3.0708236,2.34717504,1.093797,4.180963,5.8463709,2.988005,5.25904,3.30562,1.224686,1.888285,1.530449,487520
ENSCAFG00000011224,0,0.0297553,0.841581,0.4689919,0.524895,395.21818,303.97144,65.93123,67.608247,109.34434,96.403568,486317
ENSCAFG00000011226,17.8663,14.4832,2.05923,9.61842,16.1182,15.2313,24.5675,13.2382,7.92319,12.9321,8.01633,484765
ENSCAFG00000011227,0,0.180442,0.00990458,0.118811,0.0308316,0.370705,0.101469,0.130453,0,0.0345205,0.0717045,610218
ENSCAFG00000011229,0.051932,10.92953,1.03546,9.050676,4.293183489,17.976322,16.75356,3.290484,0,0.019445,4.91562,479709
ENSCAFG00000011230,0.0682172,0.283106,0.0195995,0.0398111,0.123755,0.150465,0.202475,0.0511146,0,0,0.0975818,609899
ENSCAFG00000011231,2.82837,1.3160245,0.231852,1.24518,1.45101,1.2387,2.27473,1.34841,1.63467,0.0129742,1.81709,479195
ENSCAFG00000011233,0,1.001534,0.0294368,0.148289,0,1.349497,0.605643,7.23888,0,0,0,480805
ENSCAFG00000011234,11.7234,20.14600115,3.451258,17.152033,11.441224,49.95826,63.647012,12.4247,14.60855,8.14545757,2.661707,487323
ENSCAFG00000011235,9.684579,8.367011,1.085451,1.7725478,7.564052,1.9564911,6.76342,4.5039286,4.23146,3.52128,0.896823,106558233
ENSCAFG00000011236,0,0,0.2375403,1.608683,2.98062,2.9262125,0,4.085012,0,0,3.447537,490903
ENSCAFG00000011237,0,0,0,0,0,0,0,0,0,0,0,489313
ENSCAFG00000011239,17.802946,11.06018,0.959288,2.92559,10.84032522,5.61989,21.866093,7.467868,5.8502,3.76382,2.464638,477825
ENSCAFG00000011240,0,0,0,0,0,0,0,0,0,0,0,489314
ENSCAFG00000011241,3.98482,4.39726,45.3926,85.2926,109.794,3.94223,12.613,15.0054,0.363432,0.446965,0.528246,608833
ENSCAFG00000011242,0,0,0,0,0,0,0,0,0,0,0,489315
ENSCAFG00000011243,0.065849,8.9424287,9.88219,15.5203,17.71758,20.774495,0.1215934,17.4821,0.0461564,0.0814208,10.2115,480242
ENSCAFG00000011247,9.59666,17.86443,2.007148,7.58586,4.164591,9.724287,86.28945,17.4668,71.565373,71.8457,25.192968,487324
ENSCAFG00000011248,0.734966,0.78802,0.0560252,0.394659,0.263157,1.21857,1.47597,0.330651,0.980297,0.236871,0.342432,102156324
ENSCAFG00000011251,0,0,0.226437,0.341081,0,0.197448,0,1.773211,0,0,0.0107462,607406
ENSCAFG00000011252,6.489045,3.375743001,0.173209001,0.268825,0.847012,1.192101253,1.617097,26.209505,0.176851,0.2358556,0.342321,478507
ENSCAFG00000011253,7.63314,6.29291,2.34735,5.03692,11.9656,6.80948,9.66046,5.12018,9.0202,6.25661,5.14229,486627
ENSCAFG00000011255,0,0,0,0,0,0,0,0,0,0,0,489345
ENSCAFG00000011256,0.0293766,10.4334378,1.3318258,8.377269,9.426428,17.742705,17.799725,12.0671664,0,0,3.3811609,491598
ENSCAFG00000011257,14.57923,10.806506,3.384645,6.637465,9.754431,28.55623,14.936954,10.597088,16.06645,12.059941,24.67837,483159
ENSCAFG00000011260,14.28122,7.687738,5.63283,10.75318,13.95545,11.3618,11.9215,15.85857,11.55246,14.78564,7.18298,477257
