ens_gene,Xeno_hrt_1,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,gene_ids
ENSXETG00000000023,0,0.292656,0.0733862,0,0,0.0430031,0.312543,0,0,100494400
ENSXETG00000000025,4.75509,12.988,9.74159,4.09844,4.97936,4.71336,2.05405,3.18337,2.61909,100125013
ENSXETG00000000027,9.54414,4.63643,8.603860001,9.12692,11.0363,9.30231,4.86043,6.50967,7.8886,733794
ENSXETG00000000033,21.15610537,12.412754,18.71824264,44.371457,36.8853252,37.029964,3.713337,6.5091865,7.88291942,100489239
ENSXETG00000000036,7.38804,2.48732,4.013171,12.87878206,15.69366,11.3482,5.71742,6.65233,9.0148,100337649
ENSXETG00000000037,0.174657,0.0684493,0.0195012,0.118448,0.216982,0.125701,0,0,0,100216132
ENSXETG00000000038,15.69284,10.05815,10.696,11.8828,16.6937,15.80030611,7.90893,6.66834,9.72840756,549117
ENSXETG00000000039,87.2342,81.6046,72.6693,107.287,88.9316,131.746,67.7205,90.444,68.5109,387599
ENSXETG00000000040,31.60504,0.4108609,0.638814,5.03082,3.956818,8.99414,2.337222,3.1064,8.20317,100498440
ENSXETG00000000041,15.10119,3.939407,1.22908,3.216566,2.52824,2.26355,6.69963,2.49296,2.984264,549359
ENSXETG00000000042,55.72702352,1.307457,0.3338136,100.2987396,113.8756969,125.305201,80.713484,137.0733842,221.9205329,496943
ENSXETG00000000043,0.3146529,0,0,0,0.01093662,0.00979162,0,0,0,100151738
ENSXETG00000000046,2.15376,2.806709,0.490173,1.58787,2.99433,1.43617,0,0,0,100135026
ENSXETG00000000047,10.5617,13.4103,26.4998,6.64661,9.72774,13.7578,0.510072,2.39383,2.92757,100495975
ENSXETG00000000048,12.723,6.01993,9.29698,23.0442,22.3387,19.3833,7.7582,14.1789,15.4004,100379910
ENSXETG00000000050,0.917545,0.139292,0.257424,0.518025,0.195373,0.91899853,0,0.0581408,0.194125,548651
ENSXETG00000000051,105.0404,53.6851,57.5099,137.418,218.461,242.62,82.2362,70.64650004,61.707523,550073
ENSXETG00000000054,3.05796,0.0935349,0.127834,0.783505,0.389293,2.359362785,0,0.285627,0,100379824
ENSXETG00000000055,2.32668,0.343043,0.389461,3.21714,3.03336,2.89836,1.35675,1.96469,3.19128,100144943
ENSXETG00000000056,0.451204,0.048030114,0.190951,0,0.199966,0.0519607,0,0,0,100496271
ENSXETG00000000059,15.770741,462.42068,704.571146,13.87136,15.20683045,19.825235,2.77566,8.074008,7.648711,548530
ENSXETG00000000061,18.9705,17.1265,25.2226,30.3887,29.9721,33.4216,8.87114,12.931,17.7348,448364
ENSXETG00000000062,6.094015,3.282951,4.237739,6.528637,5.877875,7.196623,2.51483,3.759376,3.45564,100492944
ENSXETG00000000063,11.09695201,1.714431,2.90553,15.53994903,36.251691,8.888947346,4.0337,11.91430783,16.867137,100488889
ENSXETG00000000064,42.888898,14.82173215,17.10867336,13.64357614,20.18535001,19.89213087,4.27482612,8.214445402,9.6488415,100489979
ENSXETG00000000066,10.0581,49.385929,41.9478,19.1692,13.076,17.105,1.38409,3.51832,11.1144,100494201
ENSXETG00000000068,8.508043,1.041127,0.5141349,13.82197,5.347545,6.329306,2.34788,0.808697,1.13778,394873
ENSXETG00000000071,17.50545,11.26436,15.75261,16.52449,17.48181,15.84541,10.3746,12.92943,15.72704,394466
ENSXETG00000000072,17.7165,25.9135,4.41134,6.55519,18.3978,11.7225,2.18617,3.02123,2.73204,734095
ENSXETG00000000075,1.367996,1.3065911,2.313684,0.415208,0.478471,0.710205,0.111366,0.176286,0.153259,100145581
ENSXETG00000000079,7.51005,81.9233,89.8352,6.92256,5.7997,10.0878,5.69286,8.58313,11.341,734060
ENSXETG00000000080,7.06631,0.101481,0.50794,19.1644,19.7318,14.8472,2.48379,2.15907,1.70021,100379707
ENSXETG00000000081,36.17460003,120.74,138.2983,11.11268,21.52579,23.224107,18.479,13.588201,13.21304,100145442
ENSXETG00000000084,9.74591,4.78211,5.11361,8.2915,12.51224,12.02428,5.58314,6.46736,7.38825,549403
ENSXETG00000000085,5.907213,0.91288,1.31891,2.36267,3.47283,3.2312641,0.869931,1.05242,1.02373,780184
ENSXETG00000000086,11.290313,5.450471,8.233964001,14.797215,17.784955,15.728932,3.839487,6.764521,8.836451,100038207
ENSXETG00000000087,14.59530434,5.858335,7.484440245,14.287116,11.4675553,9.347801,2.7807619,6.748029983,8.46264077,100135722
