ens_gene,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,gene_ids
ENSGALG00000038913,3.453312,2.422779,3.96878,3.28705,5.585339,5.17047,3.93479,3.86727,2.183636,423160
ENSGALG00000038915,7.86779,14.7451,24.5541,8.34449,37.7705,39.6592,5.48531,13.1412,10.4405,420206
ENSGALG00000038919,0,0.0978283,0.0907089,0.1219,1.21754,0.420653,0.245403,0.106581,1.2603,419167
ENSGALG00000038923,1.329339,2.226575,4.349367,97.9929,570.31,400.905,29.8174,44.1751,49.4849,415787
ENSGALG00000038924,9.49743,23.4932,33.0422,6.33027,21.1576,18.3527,4.74996,10.6417,12.2426,423814
ENSGALG00000038926,11.9905,6.43818,5.62117,16.04216,6.99459,7.11955,11.04239,4.92471,4.7591,101749138
ENSGALG00000038933,8.36802,4.03012,2.3978,1937.19,747.339,412.877,261.475,112.054,26.5776,396246
ENSGALG00000038936,0.177586,0.351674,1.82606,0,0,0,0,0,0,418721
ENSGALG00000038943,2.37174,3.94563,2.469652,2.244476,2.21645,5.17537,4.174581,5.53501,5.77922,419844
ENSGALG00000038948,15.20546,12.70989,18.56551,19.61321,20.33037,20.00697,15.82585,13.40214,12.49122,421168
ENSGALG00000038951,47.78437,10.97753,6.04623,29.78184,8.024388,11.65549,12.57561,4.47516,2.10866,101750777
ENSGALG00000038952,57.8828,6.64042,13.05318,102.3492,8.42042,19.63036,39.8599,7.958,8.3801,417007
ENSGALG00000038954,4.89022,4.92228,5.14424,5.86083,5.00552,4.31604,3.27509,4.32651,5.9881,416241
ENSGALG00000038957,10.9469,21.7303,24.6892,13.8252,40.0723,25.935,11.1687,24.7781,16.9406,415792
ENSGALG00000038964,0.283132,0.741203,2.77756,0.0227087,0.292981,0.252021,113.148,185.646,316.364,424768
ENSGALG00000038969,6.093,0,0,6.27876,0.399585,0.366169,1.67112,2.0565,0,769852
ENSGALG00000038971,6.28904,4.184484,11.81464,5.1574,11.77673,9.125998,6.62078,2.607759,3.41281,420235
ENSGALG00000038978,3.56668,9.04916,13.8899,3.283773,14.12668,12.90748,1.73865,4.458393,4.477572,420743
ENSGALG00000038981,13.20703,12.38173,13.65466,14.60778,18.03297,18.76003,9.62465,7.703616,8.72704,417701
ENSGALG00000038984,1.036307,0.297433,0.391782,0.869664,0.1520511,0.2826632,0.2834373,0.0701867,0.0423439,771058
ENSGALG00000038994,13.1275,3.80851,3.14611,24.8262,5.22556,5.03299,11.8107,3.04851,2.95427,101752009
ENSGALG00000038995,0.0857635,0.231298,0.3236142,0.3240755,0.869493,0.26796,0.458769,0.217181,0.0451349,396137
ENSGALG00000039001,71.50582,107.3271,132.8416,11.16195,50.64963,31.73762,0.637778,1.219445,0.601432,421860
